stn_id,지점명,시도,연도,지표,일수
105,강릉,강원특별자치도,2016,열대야일수,13.0
105,강릉,강원특별자치도,2017,열대야일수,15.0
105,강릉,강원특별자치도,2018,열대야일수,25.0
105,강릉,강원특별자치도,2019,열대야일수,21.0
105,강릉,강원특별자치도,2020,열대야일수,16.0
105,강릉,강원특별자치도,2021,열대야일수,13.0
105,강릉,강원특별자치도,2022,열대야일수,28.0
105,강릉,강원특별자치도,2023,열대야일수,23.0
105,강릉,강원특별자치도,2024,열대야일수,37.0
105,강릉,강원특별자치도,2025,열대야일수,44.0
105,강릉,강원특별자치도,2026,열대야일수,20.0
105,강릉,강원특별자치도,2016,폭염일수,12.0
105,강릉,강원특별자치도,2017,폭염일수,12.0
105,강릉,강원특별자치도,2018,폭염일수,23.0
105,강릉,강원특별자치도,2019,폭염일수,20.0
105,강릉,강원특별자치도,2020,폭염일수,16.0
105,강릉,강원특별자치도,2021,폭염일수,11.0
105,강릉,강원특별자치도,2022,폭염일수,16.0
105,강릉,강원특별자치도,2023,폭염일수,21.0
105,강릉,강원특별자치도,2024,폭염일수,35.0
105,강릉,강원특별자치도,2025,폭염일수,43.0
105,강릉,강원특별자치도,2026,폭염일수,15.0
105,강릉,강원특별자치도,2016,한파일수,1.0
105,강릉,강원특별자치도,2017,한파일수,0.0
105,강릉,강원특별자치도,2018,한파일수,3.0
105,강릉,강원특별자치도,2019,한파일수,0.0
105,강릉,강원특별자치도,2020,한파일수,0.0
105,강릉,강원특별자치도,2021,한파일수,4.0
105,강릉,강원특별자치도,2022,한파일수,0.0
105,강릉,강원특별자치도,2023,한파일수,1.0
105,강릉,강원특별자치도,2024,한파일수,0.0
105,강릉,강원특별자치도,2025,한파일수,0.0
105,강릉,강원특별자치도,2026,한파일수,0.0
100,대관령,강원특별자치도,2016,열대야일수,0.0
100,대관령,강원특별자치도,2017,열대야일수,0.0
100,대관령,강원특별자치도,2018,열대야일수,0.0
100,대관령,강원특별자치도,2019,열대야일수,0.0
100,대관령,강원특별자치도,2020,열대야일수,0.0
100,대관령,강원특별자치도,2021,열대야일수,0.0
100,대관령,강원특별자치도,2022,열대야일수,0.0
100,대관령,강원특별자치도,2023,열대야일수,0.0
100,대관령,강원특별자치도,2024,열대야일수,0.0
100,대관령,강원특별자치도,2025,열대야일수,0.0
100,대관령,강원특별자치도,2026,열대야일수,0.0
100,대관령,강원특별자치도,2016,폭염일수,0.0
100,대관령,강원특별자치도,2017,폭염일수,0.0
100,대관령,강원특별자치도,2018,폭염일수,0.0
100,대관령,강원특별자치도,2019,폭염일수,0.0
100,대관령,강원특별자치도,2020,폭염일수,0.0
100,대관령,강원특별자치도,2021,폭염일수,0.0
100,대관령,강원특별자치도,2022,폭염일수,0.0
100,대관령,강원특별자치도,2023,폭염일수,0.0
100,대관령,강원특별자치도,2024,폭염일수,0.0
100,대관령,강원특별자치도,2025,폭염일수,2.0
100,대관령,강원특별자치도,2026,폭염일수,0.0
100,대관령,강원특별자치도,2016,한파일수,26.0
100,대관령,강원특별자치도,2017,한파일수,39.0
100,대관령,강원특별자치도,2018,한파일수,45.0
100,대관령,강원특별자치도,2019,한파일수,24.0
100,대관령,강원특별자치도,2020,한파일수,24.0
100,대관령,강원특별자치도,2021,한파일수,26.0
100,대관령,강원특별자치도,2022,한파일수,53.0
100,대관령,강원특별자치도,2023,한파일수,30.0
100,대관령,강원특별자치도,2024,한파일수,29.0
100,대관령,강원특별자치도,2025,한파일수,35.0
100,대관령,강원특별자치도,2026,한파일수,25.0
106,동해,강원특별자치도,2016,열대야일수,10.0
106,동해,강원특별자치도,2017,열대야일수,5.0
106,동해,강원특별자치도,2018,열대야일수,12.0
106,동해,강원특별자치도,2019,열대야일수,3.0
106,동해,강원특별자치도,2020,열대야일수,0.0
106,동해,강원특별자치도,2021,열대야일수,0.0
106,동해,강원특별자치도,2022,열대야일수,7.0
106,동해,강원특별자치도,2023,열대야일수,7.0
106,동해,강원특별자치도,2024,열대야일수,24.0
106,동해,강원특별자치도,2025,열대야일수,24.0
106,동해,강원특별자치도,2026,열대야일수,10.0
106,동해,강원특별자치도,2016,폭염일수,4.0
106,동해,강원특별자치도,2017,폭염일수,4.0
106,동해,강원특별자치도,2018,폭염일수,4.0
106,동해,강원특별자치도,2019,폭염일수,3.0
106,동해,강원특별자치도,2020,폭염일수,0.0
106,동해,강원특별자치도,2021,폭염일수,0.0
106,동해,강원특별자치도,2022,폭염일수,5.0
106,동해,강원특별자치도,2023,폭염일수,8.0
106,동해,강원특별자치도,2024,폭염일수,17.0
106,동해,강원특별자치도,2025,폭염일수,21.0
106,동해,강원특별자치도,2026,폭염일수,12.0
106,동해,강원특별자치도,2016,한파일수,1.0
106,동해,강원특별자치도,2017,한파일수,0.0
106,동해,강원특별자치도,2018,한파일수,3.0
106,동해,강원특별자치도,2019,한파일수,0.0
106,동해,강원특별자치도,2020,한파일수,0.0
106,동해,강원특별자치도,2021,한파일수,2.0
106,동해,강원특별자치도,2022,한파일수,0.0
106,동해,강원특별자치도,2023,한파일수,1.0
106,동해,강원특별자치도,2024,한파일수,0.0
106,동해,강원특별자치도,2025,한파일수,0.0
106,동해,강원특별자치도,2026,한파일수,0.0
104,북강릉,강원특별자치도,2016,열대야일수,5.0
104,북강릉,강원특별자치도,2017,열대야일수,3.0
104,북강릉,강원특별자치도,2018,열대야일수,11.0
104,북강릉,강원특별자치도,2019,열대야일수,5.0
104,북강릉,강원특별자치도,2020,열대야일수,3.0
104,북강릉,강원특별자치도,2021,열대야일수,0.0
104,북강릉,강원특별자치도,2022,열대야일수,8.0
104,북강릉,강원특별자치도,2023,열대야일수,8.0
104,북강릉,강원특별자치도,2024,열대야일수,18.0
104,북강릉,강원특별자치도,2025,열대야일수,24.0
104,북강릉,강원특별자치도,2026,열대야일수,11.0
104,북강릉,강원특별자치도,2016,폭염일수,5.0
104,북강릉,강원특별자치도,2017,폭염일수,8.0
104,북강릉,강원특별자치도,2018,폭염일수,11.0
104,북강릉,강원특별자치도,2019,폭염일수,7.0
104,북강릉,강원특별자치도,2020,폭염일수,7.0
104,북강릉,강원특별자치도,2021,폭염일수,1.0
104,북강릉,강원특별자치도,2022,폭염일수,6.0
104,북강릉,강원특별자치도,2023,폭염일수,8.0
104,북강릉,강원특별자치도,2024,폭염일수,14.0
104,북강릉,강원특별자치도,2025,폭염일수,34.0
104,북강릉,강원특별자치도,2026,폭염일수,11.0
93,북춘천,강원특별자치도,2016,열대야일수,
93,북춘천,강원특별자치도,2017,열대야일수,5.0
93,북춘천,강원특별자치도,2018,열대야일수,8.0
93,북춘천,강원특별자치도,2019,열대야일수,5.0
93,북춘천,강원특별자치도,2020,열대야일수,1.0
93,북춘천,강원특별자치도,2021,열대야일수,0.0
93,북춘천,강원특별자치도,2022,열대야일수,4.0
93,북춘천,강원특별자치도,2023,열대야일수,5.0
93,북춘천,강원특별자치도,2024,열대야일수,14.0
93,북춘천,강원특별자치도,2025,열대야일수,5.0
93,북춘천,강원특별자치도,2026,열대야일수,4.0
93,북춘천,강원특별자치도,2016,폭염일수,0.0
93,북춘천,강원특별자치도,2017,폭염일수,18.0
93,북춘천,강원특별자치도,2018,폭염일수,36.0
93,북춘천,강원특별자치도,2019,폭염일수,18.0
93,북춘천,강원특별자치도,2020,폭염일수,7.0
93,북춘천,강원특별자치도,2021,폭염일수,21.0
